50,50,100.0000,43748.7000
50,50,100.0000,43744.7000
50,50,100.0000,43753.1000
50,50,100.0000,43745.5000
50,50,100.0000,43739.2000
50,50,100.0000,43766.5000
50,50,100.0000,43742.5000
50,50,100.0000,43741.8000
50,50,100.0000,43732.4000
50,50,100.0000,43750.5000
100,50,50.0000,21872.7000
100,50,50.0000,21869.4000
100,50,50.0000,21868.1500
100,50,50.0000,21865.7500
100,50,50.0000,21877.0500
100,50,50.0000,21872.1000
100,50,50.0000,21871.2000
100,50,50.0000,21870.6500
100,50,50.0000,21875.2000
100,50,50.0000,21874.2000
200,50,25.0000,10935.5500
200,50,25.0000,10938.5250
200,50,25.0000,10937.7500
200,50,25.0000,10935.3000
200,50,25.0000,10931.8500
200,50,25.0000,10936.4750
200,50,25.0000,10938.0250
200,50,25.0000,10937.2000
200,50,25.0000,10932.7000
200,50,25.0000,10934.4250
400,50,12.5000,5468.4625
50,50,100.0000,43749.3000
50,50,100.0000,43758.8000
50,50,100.0000,43743.1000
50,50,100.0000,43733.3000
50,50,100.0000,43747.1000
50,50,100.0000,43745.0000
50,50,100.0000,43743.9000
50,50,100.0000,43754.2000
50,50,100.0000,43735.4000
50,50,100.0000,43751.8000
100,100,100.0000,43652.4900
100,100,100.0000,43670.2400
100,100,100.0000,43676.1400
100,100,100.0000,43676.8900
100,100,100.0000,43663.0400
100,100,100.0000,43671.5900
100,100,100.0000,43671.4900
100,100,100.0000,43675.4400
100,100,100.0000,43647.5900
100,100,100.0000,43644.6400
200,200,100.0000,43216.3150
200,200,100.0000,43086.2400
200,200,100.0000,43053.7650
200,200,100.0000,43046.2900
200,200,100.0000,43228.0650
200,200,100.0000,43176.1650
200,200,100.0000,43122.1150
200,200,100.0000,43162.4150
200,200,100.0000,43098.5650
200,200,100.0000,43155.8650
400,389,97.2500,40003.5875
400,390,97.5000,40430.5750
400,389,97.2500,39545.4025
400,391,97.7500,39765.4775
400,386,96.5000,39685.1775
400,389,97.2500,39949.7425
400,395,98.7500,40653.1575
400,382,95.5000,39037.2100
400,392,98.0000,40583.2125
400,391,97.7500,40464.6200
800,427,53.3750,20270.4513
800,448,56.0000,21583.9088
800,483,60.3750,23333.6675
800,433,54.1250,21539.6100
800,495,61.8750,23559.8638
800,476,59.5000,22801.3675
800,469,58.6250,22811.2975
800,458,57.2500,22471.6450
800,373,46.6250,18662.9100
800,425,53.1250,20791.7900
